,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,rbversion
73,ztf,58379.15153940022,625151534615010003,1,625151534615,20.4293,-1,625,0.124088,20.0719,18.789673,20.1388,0.224443,0.06199587,0.06889937,0.3043,265.6072358,41.2194938,0.806667,20.4488,0.5168,False,True,False,bulk_1.0.0,0.0,6.31133533515015e+17,,,t12_f5_c3
74,ztf,58385.133530099876,631133533515015009,1,631133533515,19.716705,1,631,0.17873523,19.25126,18.086483,19.4479,0.1479515,0.04963507,0.050606743,0.292,265.6072539,41.2194867,0.77,19.5667,0.4176,True,True,False,bulk_1.0.0,0.0,0.0,0.0,724120135.0,t8_f5_c3
75,ztf,58512.55342590017,758553423515010005,1,758553423515,20.273354,-1,758,0.56067914,19.950087,18.887354,19.8815,0.21560158,0.078341454,0.08101384,0.2279,265.6071043,41.2193869,0.74857146,19.7031,0.2471,False,True,False,bulk_1.0.0,0.0,7.84528213515015e+17,0.0,724120135.0,t15_f5_c3
76,ztf,58538.52821760019,784528213515015013,1,784528213515,19.56961,1,784,0.3821379,18.684467,17.85779,18.4501,0.13055226,0.060443226,0.06096967,0.1301,265.6072018,41.2194166,0.48,18.4455,0.1655,False,True,False,bulk_1.0.0,0.0,7.93528244615015e+17,0.0,724120135.0,t15_f5_c3
77,ztf,58541.466284700204,787466283515010006,1,787466283515,20.2694,-1,787,0.606743,20.016,18.863586,20.2099,0.27254,0.092102855,0.09428973,0.2944,265.6071771,41.2193546,0.684286,20.2453,0.3883,False,True,False,bulk_1.0.0,0.0,7.93528244615015e+17,,,t15_f5_c3
78,ztf,58547.41005790001,793410053515010003,1,793410053515,20.360096,-1,793,0.3316762,20.046312,18.853292,20.0394,0.21408771,0.06848818,0.07134838,0.2485,265.6071658,41.2194381,0.7171429,20.0497,0.3199,False,True,False,bulk_1.0.0,0.0,7.93528244615015e+17,0.0,724120135.0,t15_f5_c3
79,ztf,58547.41005790001,793410053515020003,1,793410053515,20.3601,-1,793,0.331676,20.0463,18.853296,20.0394,0.214088,0.0684893,0.07134947,0.2485,265.6071658,41.2194381,0.717143,20.0497,0.3199,False,True,False,bulk_1.0.0,0.0,8.02489253515025e+17,,,t15_f5_c3
80,ztf,58547.52824069979,793528244615015008,2,793528244615,20.537212,1,793,0.15186696,19.101181,17.832714,18.896,0.1250351,0.0341308,0.03887273,0.0925,265.6072488,41.2194821,0.8357143,18.8035,0.1073,False,True,False,bulk_1.0.0,0.0,7.93528703515015e+17,0.0,725120246.0,t15_f5_c3
81,ztf,58547.52870369982,793528703515015015,2,793528703515,20.685656,1,793,0.37546706,19.492353,17.89864,19.4542,0.12098872,0.024192618,0.027877849,0.1348,265.6071101,41.2194572,0.76428574,19.35,0.1544,True,True,False,bulk_1.0.0,0.0,0.0,0.0,724120235.0,t15_f5_c3
82,ztf,58547.52870369982,793528703515025015,2,793528703515,20.6857,1,793,0.375467,19.4924,17.89865,19.4542,0.120989,0.024191573,0.027877009,0.1348,265.6071101,41.2194572,0.764286,19.35,0.1544,False,True,False,bulk_1.0.0,0.0,8.02489253515025e+17,,,t15_f5_c3
83,ztf,58556.48925929982,802489253515025015,1,802489253515,20.472376,1,802,0.22312264,18.562342,17.799044,18.4692,0.080761254,0.03925992,0.039983775,0.0506,265.6071295,41.2195244,0.5114286,18.4325,0.061,False,True,False,bulk_1.0.0,0.0,8.2145363351501e+17,0.0,724120135.0,t15_f5_c3
84,ztf,58556.51107640006,802511073515025012,2,802511073515,20.341488,1,802,0.20126042,19.37585,17.870665,19.6039,0.13623852,0.03126866,0.034058522,0.1752,265.6071381,41.2195124,0.7985714,19.6269,0.2267,False,True,False,bulk_1.0.0,0.0,8.2145363351501e+17,0.0,724120235.0,t15_f5_c3
85,ztf,58567.50991899986,813509914615015001,1,813509914615,19.8539,1,813,0.622575,19.8107,18.21518,20.4447,0.279073,0.061705306,0.06419627,0.5884,265.6071696,41.2193449,0.358571,20.3608,0.6977,False,True,False,bulk_1.0.0,0.0,8.2145363351501e+17,,,t15_f5_c3
86,ztf,58567.510381899774,813510383515015007,1,813510383515,19.8064,1,813,0.484766,19.7519,18.233149,19.4474,0.275422,0.06705344,0.06799837,0.233,265.6071656,41.2196564,0.442857,19.5289,0.3212,False,True,False,bulk_1.0.0,0.0,8.2145363351501e+17,,,t15_f5_c3
87,ztf,58575.4536342998,821453633515010007,2,821453633515,20.707853,-1,821,0.1897942,19.860928,18.443369,19.8047,0.18973239,0.04604818,0.051418297,0.1801,265.6071907,41.2194791,0.6542857,19.6616,0.2002,False,True,False,bulk_1.0.0,0.0,8.3040164351501e+17,0.0,724120235.0,t15_f5_c3
